name,modality,muscle_groups,strain_rating,description,id,created_date,updated_date,created_by_id,created_by,is_sample
"Pull-ups","bodyweight","[""back"",""biceps"",""forearms""]","7","Vertical pulling powerhouse","68812ef731b451574f347e9d","2025-07-23T18:50:31.195000","2025-07-23T18:50:31.195000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Push-ups","bodyweight","[""chest"",""shoulders"",""triceps"",""core""]","5","Bodyweight pressing classic","68812ef731b451574f347e9e","2025-07-23T18:50:31.195000","2025-07-23T18:50:31.195000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Dumbbell Rows","dumbbell","[""back"",""biceps""]","6","Unilateral back builder","68812ef731b451574f347e9f","2025-07-23T18:50:31.195000","2025-07-23T18:50:31.195000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Overhead Press","barbell","[""shoulders"",""triceps"",""core""]","7","Vertical press for strength","68812ef731b451574f347ea0","2025-07-23T18:50:31.195000","2025-07-23T18:50:31.195000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Fingerboard Hangs","climbing","[""forearms"",""back""]","8","Grip strength for climbers","68812ef731b451574f347ea1","2025-07-23T18:50:31.195000","2025-07-23T18:50:31.195000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Plank","bodyweight","[""core""]","4","Isometric core stability","68812ef731b451574f347ea2","2025-07-23T18:50:31.195000","2025-07-23T18:50:31.195000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Bulgarian Split Squats","bodyweight","[""quads"",""glutes""]","7","Unilateral leg strength","68812ef731b451574f347ea3","2025-07-23T18:50:31.195000","2025-07-23T18:50:31.195000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Kettlebell Swings","kettlebell","[""glutes"",""hamstrings"",""core""]","6","Explosive hip hinge","68812ef731b451574f347ea4","2025-07-23T18:50:31.195000","2025-07-23T18:50:31.195000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Face Pulls","resistance_band","[""shoulders"",""back""]","4","Rear delt and posture work","68812ef731b451574f347ea5","2025-07-23T18:50:31.195000","2025-07-23T18:50:31.195000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Burpees","bodyweight","[""full_body""]","8","Full body conditioning","68812ef731b451574f347ea6","2025-07-23T18:50:31.195000","2025-07-23T18:50:31.195000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Lat Pulldowns","machine","[""back"",""biceps""]","5","Assisted vertical pulling","68812ef731b451574f347ea7","2025-07-23T18:50:31.195000","2025-07-23T18:50:31.195000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Dips","bodyweight","[""chest"",""triceps"",""shoulders""]","6","Bodyweight tricep builder","68812ef731b451574f347ea8","2025-07-23T18:50:31.195000","2025-07-23T18:50:31.195000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"climbing","bodyweight","[""full_body""]","5","Custom user exercise.","68813316a083cfa68874e8be","2025-07-23T19:08:06.150000","2025-07-23T19:08:06.150000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"muscleup","bodyweight","[""back""]","5","Custom user exercise.","6881339c562cff044eedcfcb","2025-07-23T19:10:20.295000","2025-07-23T19:10:20.295000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Barbell Back Squat","barbell","[""quads"",""glutes"",""core""]","9","King of lower body exercises","68813836fb7df3835a37a01a","2025-07-23T19:29:58.035000","2025-07-23T19:29:58.035000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Deadlift","barbell","[""back"",""glutes"",""hamstrings"",""core""]","10","Full posterior chain movement","68813836fb7df3835a37a01b","2025-07-23T19:29:58.035000","2025-07-23T19:29:58.035000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Bench Press","barbell","[""chest"",""shoulders"",""triceps""]","8","Primary horizontal push","68813836fb7df3835a37a01c","2025-07-23T19:29:58.035000","2025-07-23T19:29:58.035000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Pull-ups","bodyweight","[""back"",""biceps"",""forearms""]","7","Vertical pulling powerhouse","68813836fb7df3835a37a01d","2025-07-23T19:29:58.035000","2025-07-23T19:29:58.035000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Push-ups","bodyweight","[""chest"",""shoulders"",""triceps"",""core""]","5","Bodyweight pressing classic","68813836fb7df3835a37a01e","2025-07-23T19:29:58.035000","2025-07-23T19:29:58.035000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Fingerboard Hangs","climbing","[""forearms"",""back""]","8","Grip strength for climbers","68813836fb7df3835a37a01f","2025-07-23T19:29:58.035000","2025-07-23T19:29:58.035000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Campus Board Training","climbing","[""forearms"",""back"",""shoulders""]","9","Dynamic finger strength","68813836fb7df3835a37a020","2025-07-23T19:29:58.035000","2025-07-23T19:29:58.035000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Pistol Squats","bodyweight","[""quads"",""glutes"",""core""]","8","Single-leg strength","68813836fb7df3835a37a021","2025-07-23T19:29:58.035000","2025-07-23T19:29:58.035000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Muscle-ups","bodyweight","[""back"",""chest"",""shoulders"",""triceps""]","9","Advanced pulling and pushing","68813836fb7df3835a37a022","2025-07-23T19:29:58.035000","2025-07-23T19:29:58.035000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Plank","bodyweight","[""core""]","4","Isometric core stability","68813836fb7df3835a37a023","2025-07-23T19:29:58.035000","2025-07-23T19:29:58.035000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Pike Push Ups","bodyweight","[""shoulders"",""triceps"",""core""]","5","Custom user exercise","688139715545d101296f0b00","2025-07-23T19:35:13.979000","2025-07-23T19:35:13.979000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Pike Pushups","bodyweight","[""shoulders"",""triceps"",""upper chest""]","3","Custom user exercise","6881397bfd547cb951a2a1fb","2025-07-23T19:35:23.545000","2025-07-23T19:35:23.545000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Pull-ups","bodyweight","[""back"",""biceps""]","7","Standard pull-up on bar","6881c6293df27db77366de24","2025-07-24T05:35:37.594000","2025-07-24T05:35:37.594000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Hangboard Max Hang","climbing","[""forearms"",""back""]","8","Maximum dead hang on hangboard","6881c6293df27db77366de25","2025-07-24T05:35:37.594000","2025-07-24T05:35:37.594000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
"Barbell Back Squat","barbell","[""quads"",""glutes""]","9","Back squat with barbell","6881c6293df27db77366de26","2025-07-24T05:35:37.594000","2025-07-24T05:35:37.594000","68812e1c2e9d8fc3dd971bc7","segev.elior@gmail.com",""
